"","Cell","PredictedID"
"2_1","2_1","T cells"
"3_1","3_1","T cells"
"6_1","6_1","T cells"
"7_1","7_1","T cells"
"9_1","9_1","T cells"
"10_1","10_1","T cells"
"11_1","11_1","T cells"
"12_1","12_1","B cells"
"13_1","13_1","Epithelial"
"14_1","14_1","T cells"
"15_1","15_1","B cells"
"16_1","16_1","Epithelial"
"17_1","17_1","T cells"
"18_1","18_1","T cells"
"19_1","19_1","Epithelial"
"20_1","20_1","plasma cells"
"22_1","22_1","plasma cells"
"23_1","23_1","T cells"
"24_1","24_1","T cells"
"25_1","25_1","T cells"
"27_1","27_1","T cells"
"28_1","28_1","T cells"
"30_1","30_1","T cells"
"31_1","31_1","T cells"
"32_1","32_1","T cells"
"33_1","33_1","T cells"
"34_1","34_1","T cells"
"35_1","35_1","T cells"
"36_1","36_1","Epithelial"
"37_1","37_1","T cells"
"38_1","38_1","T cells"
"39_1","39_1","T cells"
"40_1","40_1","Epithelial"
"41_1","41_1","T cells"
"42_1","42_1","Epithelial"
"43_1","43_1","Epithelial"
"44_1","44_1","T cells"
"46_1","46_1","Epithelial"
"47_1","47_1","Epithelial"
"48_1","48_1","Epithelial"
"49_1","49_1","T cells"
"50_1","50_1","Epithelial"
"1_2","1_2","T cells"
"2_2","2_2","T cells"
"4_2","4_2","T cells"
"5_2","5_2","T cells"
"6_2","6_2","T cells"
"8_2","8_2","T cells"
"10_2","10_2","T cells"
"11_2","11_2","Epithelial"
"12_2","12_2","T cells"
"13_2","13_2","T cells"
"14_2","14_2","Epithelial"
"15_2","15_2","T cells"
"16_2","16_2","T cells"
"18_2","18_2","T cells"
"19_2","19_2","T cells"
"20_2","20_2","T cells"
"21_2","21_2","T cells"
"23_2","23_2","T cells"
"24_2","24_2","T cells"
"26_2","26_2","T cells"
"27_2","27_2","Epithelial"
"28_2","28_2","Epithelial"
"29_2","29_2","T cells"
"30_2","30_2","B cells"
"31_2","31_2","T cells"
"32_2","32_2","CAFs"
"33_2","33_2","T cells"
"34_2","34_2","Epithelial"
"35_2","35_2","Mast cells"
"36_2","36_2","T cells"
"37_2","37_2","Myofib"
"39_2","39_2","T cells"
"40_2","40_2","T cells"
"41_2","41_2","Myofib"
"42_2","42_2","Epithelial"
"43_2","43_2","T cells"
"44_2","44_2","plasma cells"
"45_2","45_2","Epithelial"
"46_2","46_2","Epithelial"
"47_2","47_2","T cells"
"48_2","48_2","Myofib"
"49_2","49_2","T cells"
